qid,prompt1,prompt2,similarity
Q1,original,step_by_step,0.91320693
Q1,original,brief,0.8591964
Q1,original,expert,0.90491974
Q1,original,detailed,0.8242663
Q1,original,noisy,0.8690287
Q1,step_by_step,brief,0.90522844
Q1,step_by_step,expert,0.9162154
Q1,step_by_step,detailed,0.8605529
Q1,step_by_step,noisy,0.9336859
Q1,brief,expert,0.8863255
Q1,brief,detailed,0.8876357
Q1,brief,noisy,0.87868404
Q1,expert,detailed,0.8487652
Q1,expert,noisy,0.89063394
Q1,detailed,noisy,0.84039617
Q10,original,step_by_step,0.77884865
Q10,original,brief,0.97063345
Q10,original,expert,0.972029
Q10,original,detailed,0.87210226
Q10,original,noisy,0.9136113
Q10,step_by_step,brief,0.7569468
Q10,step_by_step,expert,0.7525675
Q10,step_by_step,detailed,0.90438056
Q10,step_by_step,noisy,0.734705
Q10,brief,expert,0.946669
Q10,brief,detailed,0.8511275
Q10,brief,noisy,0.9071504
Q10,expert,detailed,0.85440457
Q10,expert,noisy,0.8750055
Q10,detailed,noisy,0.8174386
Q2,original,step_by_step,0.79865175
Q2,original,brief,0.82919073
Q2,original,expert,0.85645753
Q2,original,detailed,0.7282657
Q2,original,noisy,0.89745903
Q2,step_by_step,brief,0.78765523
Q2,step_by_step,expert,0.776145
Q2,step_by_step,detailed,0.90963244
Q2,step_by_step,noisy,0.80279726
Q2,brief,expert,0.74035156
Q2,brief,detailed,0.7087485
Q2,brief,noisy,0.8240613
Q2,expert,detailed,0.7394567
Q2,expert,noisy,0.8520943
Q2,detailed,noisy,0.69834167
Q3,original,step_by_step,0.96038055
Q3,original,brief,0.92953765
Q3,original,expert,0.9545872
Q3,original,detailed,0.9354757
Q3,original,noisy,0.91412306
Q3,step_by_step,brief,0.9009111
Q3,step_by_step,expert,0.9375679
Q3,step_by_step,detailed,0.9358367
Q3,step_by_step,noisy,0.8866794
Q3,brief,expert,0.89298606
Q3,brief,detailed,0.902722
Q3,brief,noisy,0.96234035
Q3,expert,detailed,0.9288403
Q3,expert,noisy,0.8876345
Q3,detailed,noisy,0.92308587
Q4,original,step_by_step,0.62640977
Q4,original,brief,1.0000002
Q4,original,expert,1.0000002
Q4,original,detailed,0.6420179
Q4,original,noisy,1.0000002
Q4,step_by_step,brief,0.62640977
Q4,step_by_step,expert,0.62640977
Q4,step_by_step,detailed,0.41210568
Q4,step_by_step,noisy,0.62640977
Q4,brief,expert,1.0000002
Q4,brief,detailed,0.6420179
Q4,brief,noisy,1.0000002
Q4,expert,detailed,0.6420179
Q4,expert,noisy,1.0000002
Q4,detailed,noisy,0.6420179
Q5,original,step_by_step,0.88679844
Q5,original,brief,0.8921482
Q5,original,expert,0.93158925
Q5,original,detailed,0.8800685
Q5,original,noisy,0.95064515
Q5,step_by_step,brief,0.8395176
Q5,step_by_step,expert,0.9009515
Q5,step_by_step,detailed,0.85560787
Q5,step_by_step,noisy,0.89705044
Q5,brief,expert,0.85078275
Q5,brief,detailed,0.827969
Q5,brief,noisy,0.8747809
Q5,expert,detailed,0.8490341
Q5,expert,noisy,0.9506086
Q5,detailed,noisy,0.866886
Q6,original,step_by_step,0.9230873
Q6,original,brief,0.85144114
Q6,original,expert,0.90026337
Q6,original,detailed,0.9304583
Q6,original,noisy,0.922144
Q6,step_by_step,brief,0.8291674
Q6,step_by_step,expert,0.8776968
Q6,step_by_step,detailed,0.8904706
Q6,step_by_step,noisy,0.8926802
Q6,brief,expert,0.8724816
Q6,brief,detailed,0.8786621
Q6,brief,noisy,0.89219916
Q6,expert,detailed,0.9458792
Q6,expert,noisy,0.9288595
Q6,detailed,noisy,0.9358148
Q7,original,step_by_step,0.6616005
Q7,original,brief,0.8640474
Q7,original,expert,0.9103992
Q7,original,detailed,0.803997
Q7,original,noisy,0.86620665
Q7,step_by_step,brief,0.63625383
Q7,step_by_step,expert,0.66549027
Q7,step_by_step,detailed,0.7059704
Q7,step_by_step,noisy,0.6001232
Q7,brief,expert,0.95048106
Q7,brief,detailed,0.80058384
Q7,brief,noisy,0.76251566
Q7,expert,detailed,0.8125885
Q7,expert,noisy,0.78897744
Q7,detailed,noisy,0.7222657
Q8,original,step_by_step,0.916368
Q8,original,brief,0.89497864
Q8,original,expert,0.924013
Q8,original,detailed,0.93165684
Q8,original,noisy,0.9345774
Q8,step_by_step,brief,0.8746128
Q8,step_by_step,expert,0.92061293
Q8,step_by_step,detailed,0.8903354
Q8,step_by_step,noisy,0.9242929
Q8,brief,expert,0.8677175
Q8,brief,detailed,0.8675049
Q8,brief,noisy,0.8810364
Q8,expert,detailed,0.9290049
Q8,expert,noisy,0.9283372
Q8,detailed,noisy,0.9083334
Q9,original,step_by_step,0.90502214
Q9,original,brief,0.90046805
Q9,original,expert,0.9284279
Q9,original,detailed,0.8595523
Q9,original,noisy,0.9118811
Q9,step_by_step,brief,0.88857925
Q9,step_by_step,expert,0.8932133
Q9,step_by_step,detailed,0.86105275
Q9,step_by_step,noisy,0.8962952
Q9,brief,expert,0.8729081
Q9,brief,detailed,0.7945765
Q9,brief,noisy,0.86528885
Q9,expert,detailed,0.8238951
Q9,expert,noisy,0.88127327
Q9,detailed,noisy,0.90136814
